,title
18947,"Hobbit: An Unexpected Journey, The (2012)"
18948,Mon Paradis - Der Winterpalast (2001)
18949,I am Von Höfler (Variation on Werther - Private Hungary 15) (2008)
18950,Dragon Fight (Long zai tian ya) (1989)
18951,"Master, The (Huang Fei Hong jiu er zhi long xing tian xia) (1992)"
18952,"Evil Cult, The (Lord of the Wu Tang) (Yi tian tu long ji: Zhi mo jiao jiao zhu) (1993)"
18953,"Fitzgerald Family Christmas, The (2012)"
18954,Hyde Park on Hudson (2012)
18955,Lay the Favorite (2012)
18956,Audition (Konkurs) (1964)
18957,All's Faire in Love (2009)
18958,Crooked Arrows (2012)
18959,"Enforcer, The (Gei ba ba de xin) (1995)"
18960,Dr. Wai in the Scriptures with No Words (Mao xian wang) (1996)
18961,Once Upon a Time in China and America (Wong Fei Hung: Chi sai wik hung see) (1997) 
18962,Hitman (Contract Killer) (Sat sau ji wong) (1998)
18963,Never Say... Never! (Il ne faut jurer... de rien!) (2005)
18964,"Cool, Calm and Collected (Calmos) (1976)"
18965,"After Fall, Winter (2011)"
18966,Violeta Went to Heaven (Violeta se fue a los cielos) (2011)
18967,Rebellion (L'ordre et la morale) (2011)
18968,Versailles (2008)
18969,Two in the Wave (2010)
18970,Lotte Reiniger: Homage to the Inventor of the Silhouette Film (2001)
18971,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World' (2005)"
18972,Yossi (Ha-Sippur Shel Yossi) (2012)
18973,"All Blossoms Again: Pedro Costa, Director (Tout refleurit: Pedro Costa, cinéaste) (2006)"
18974,"Last Rites of Joe May, The (2011)"
18975,"Prodigal, The (1955)"
18976,"Eleventh Hour, The (2008)"
18977,Barfi! (2012)
18978,Federico Fellini's Autobiography (Federico Fellini - un autoritratto ritrovato) (2000)
18979,Zero Dark Thirty (2012)
18980,Neighbouring Sounds (O som ao redor) (2012)
18981,Chasing Ice (2012)
18982,Antiviral (2012)
18983,"Arrival of a Train, The (1896)"
18984,Arsène Lupin (2004)
18985,"Three Brothers, The (Les trois frères) (1995)"
18986,Ghost Machine (2009)
18987,Freeloaders (2011)
18988,"Immortal Story, The (Histoire immortelle) (1968)"
18989,Filming 'Othello' (1978)
18990,Warm Bodies (2013)
18991,Let Fury Have the Hour (2012)
18992,Now I'll Tell (1934)
18993,Asylum Blackout (2011)
18994,Fresh Bait (L'appât) (1995) 
18995,Frenchmen (Le coeur des hommes) (2003)
18996,Wrong (2012)
18997,Young & Wild (Joven y alocada) (2012)
18998,Trishna (2011)
18999,Aftershock (Tangshan dadizhen) (2010)
19000,Chained (2012)
19001,"Goodbye Girl, The (2004)"
19002,"Ring Finger, The (L'annulaire) (2005)"
19003,"Count Yorga, Vampire (1970)"
19004,"Comedy, The (2012)"
19005,7 Khoon Maaf (2011)
19006,"Red Shoes, The (Bunhongsin) (2005)"
19007,Bluebeard (1972)
19008,Our Little Girl (1935)
19009,Playing for Keeps (2012)
19010,Poor Little Rich Girl (1936)
19011,Skate or Die (2008)
19012,"Guilt Trip, The (2012)"
19013,"Girl on a Motorcycle, The (1968)"
19014,Save the Date (2012)
19015,Jack Reacher (2012)
19016,Django Unchained (2012)
19017,This Is 40 (2012)
19018,I Bought a Vampire Motorcycle (1990)
19019,Willard (1971)
19020,"Public Woman, The (Femme publique, La) (1984)"
19021,Cirque du Soleil: Worlds Away (2012)
19022,"Impossible, The (Imposible, Lo) (2012)"
19023,"Misérables, Les (2012)"
19024,"Gestapo's Last Orgy, The (L'ultima orgia del III Reich) (1977)"
19025,Mamitas (2011)
19026,"Bobo, The (1967)"
19027,Struck by Lightning (2012)
19028,Spring Break Shark Attack (2005)
19029,Campfire Tales (1997)
19030,Seven Ways from Sundown (1960)
19031,Not Fade Away (2012)
19032,Quartet (2012)
19033,Silent Night (2012)
19034,"Coluche, l'histoire d'un mec (2008)"
19035,"Parasites, Les (1999)"
19036,"Reluctant Dragon, The (1941)"
19037,"Marine Story, A (2010)"
19038,Malibu High (1979)
19039,Who Wants to Kill Jessie? (Kdo chce zabít Jessii?) (1966)
19040,Jerusalem Countdown (2011)
19041,Stand Up and Cheer! (1934)
19042,Stowaway (1936)
19043,Susannah of the Mounties (1939)
19044,11 Flowers (Wo 11) (2011)
19045,"Meilleurs amis du monde, Les (2010)"
19046,Quatre garçons pleins d'avenir (1997)
19047,In Your Dreams (Dans tes rêves) (2005)
19048,"Willow Tree, The (Beed-e majnoon) (2005)"
19049,Kumaré (2011)
19050,Lady Oscar (1979)
19051,That Hagen Girl (1947)
19052,"Eye of the Storm, The (2011)"
19053,976-EVIL II (1992)
19054,Foreign Intrigue (1956)
19055,Harem suare (1999)
19056,Electile Dysfunction (2008)
19057,"Glenn, the Flying Robot (2010)"
19058,Slipstream (1989)
19059,"Woodmans, The (2010)"
19060,Move (3 Zimmer/Küche/Bad) (2012)
19061,Holiday in Handcuffs (2007)
19062,Camp Rock 2: The Final Jam (2010)
19063,StreetDance 3D (2010)
19064,"New Barbarians, The (I nuovi barbari) (1983)"
19065,How to Stop Being a Loser (2011)
19066,Transfer (2010)
19067,Time of Roses (Ruusujen aika) (1969)
19068,Lipton Cockton in the Shadows of Sodoma (1995)
19069,"Midsummer Night's Party, A (Midsummer of Love, A) (Sommaren med Göran) (2009)"
19070,Alois Nebel (2011)
19071,Juan of the Dead (Juan de los Muertos) (2011)
19072,Parental Guidance (2012)
19073,Sexy Baby (2012)
19074,Snow on Tha Bluff (2011)
19075,John Dies at the End (2012)
19076,Vidal Sassoon: The Movie (2010)
19077,Born to Be Wild (2011)
19078,Blonde Ice (1948)
19079,Ultrasuede: In Search of Halston (2010)
19080,Wish Me Away (2011)
19081,"Central Park Five, The (2012)"
19082,"Collection, The (2012)"
19083,FDR: American Badass! (2012)
19084,All Superheros Must Die (2011)
19085,Jean Renoir: Part One - From La Belle Époque to World War II (1993)
19086,Girl Walk: All Day (2011)
19087,"Acacias, Las (2011)"
19088,Just Ask My Children (2001)
19089,Never Too Young to Die (1986)
19090,"Remember the Daze (Beautiful Ordinary, The) (2007)"
19091,Waiting for Lightning (2012)
19092,Yesterday's Enemy (1959)
19093,Young People (1940)
19094,Henry (2010)
19095,"Incruste, L' (a.k.a. L'Incruste, fallait pas le laisser entrer!) (2004)"
19096,"Villain, The (Le Vilain) (2009)"
19097,Soldiers of Fortune (2012)
19098,Rurouni Kenshin (Rurôni Kenshin: Meiji kenkaku roman tan) (2012)
19099,Extracted (2012)
19100,Stevie (2008)
19101,Mansome (2012)
19102,"Misérables, Les (1958)"
19103,"Misérables, Les (1952)"
19104,"Big Street, The (1942)"
19105,"True Meaning of Christmas Specials, The (2002)"
19106,Kenji Mizoguchi: The Life of a Film Director (Aru eiga-kantoku no shogai) (1975)
19107,Promised Land (2012)
19108,Neo Ned (2005)
19109,Offender (2012)
19110,Sun Wind (Aurinkotuuli) (1980)
19111,Confessions of a Window Cleaner (1974)
19112,"Man Who Haunted Himself, The (1970)"
19113,Dakota Skye (2008)
19114,Immaculate Conception of Little Dizzle (2009)
19115,Confessions of a Pop Performer (1975)
19116,Private Romeo (2011)
19117,Role/Play (2010)
19118,"Sweeney, The (2012)"
19119,English Vinglish (2012)
19120,Fish Story (Fisshu sutôrî) (2009)
19121,Comedy Central Roast of Bob Saget (2008)
19122,Tiny Toon Adventures: How I Spent My Vacation (1992)
19123,Trapped in the Closet: Chapters 1-12 (2005)
19124,"Sea of Grass, The (1947)"
19125,"Visitors, The (1972)"
19126,L'homme qui rit (2012)
19127,Excuse Me for Living (2012)
19128,Aftermath (1994)
19129,Fragments of an Alms-Film (Fragmentos de um Filme-Esmola: A Sagrada Família) (1972)
19130,Manuel on the Island of Wonders (Manoel dans l'île des merveilles) (1984)
19131,Eat Sleep Die (Äta sova dö) (2012)
19132,Dr. Bronner's Magic Soapbox (2006)
19133,"Dark Truth, A (Truth, The) (2012)"
19134,"Conversation with Gregory Peck, A (1999)"
19135,Odette Toulemonde (2006)
19136,Pusher (2012)
19137,Lucy (2003)
19138,"Hollywood Complex, The (2011)"
19139,"Shunning, The (2011)"
19140,She Had to Say Yes (1933)
19141,Texas Chainsaw 3D (2013)
19142,K-11 (2012)
19143,Ex-Girlfriends (2012)
19144,Gangster Squad (2013)
19145,Dabangg 2 (2012)
19146,"Marsh, The (2006)"
19147,Road to Redemption (2001)
19148,"Climb, The (2002)"
19149,"Warrior and the Sorceress, The (1984)"
19150,"Company You Keep, The (2012)"
19151,"Trouble with Bliss, The (2011)"
19152,"Samaritan, The (2012)"
19153,"Iceman, The (2012)"
19154,T.N.T. (1997)
19155,Secrets of the Tribe (2010)
19156,It's Such a Beautiful Day (2012)
19157,Kiss the Bride (2007)
19158,"Haunted House, A (2013)"
19159,Painted Lady (1997)
19160,Whores' Glory (2011)
19161,Somewhere in Palilula (Undeva la Palilula) (2012)
19162,Planet of Snail (2011)
19163,"Waiting Room, The (2012)"
19164,Beware of Mr. Baker (2012)
19165,Alphabet City (1984)
19166,Pokémon the Movie: Black - Victini and Reshiram (2011)
19167,Pokémon the Movie: White - Victini and Zekrom (2011)
19168,Cleanflix (2009)
19169,Paul Williams Still Alive (2011)
19170,Sister (L'enfant d'en haut) (2012)
19171,Mea Maxima Culpa: Silence in the House of God (2012)
19172,Everything or Nothing: The Untold Story of 007 (2012)
19173,It's About You (2010)
19174,Grayeagle  (1977)
19175,Codependent Lesbian Space Alien Seeks Same (2011)
19176,"World's Greatest Athlete, The (1973)"
19177,Cargo (2011)
19178,Diana Vreeland: The Eye Has to Travel (2011)
19179,Sangre de mi sangre (Padre Nuestro) (2007)
19180,Milarepa (2006)
19181,Marked for Murder (1993) 
19182,O Panishyros Megistanas Ton Ninja (2008)
19183,Morgan Pålsson - världsreporter (2008)
19184,Renoir (2012)
19185,"Last Stand, The (2013)"
19186,Mama (2013)
19187,"Candidate, The (Kandidaten) (2008)"
19188,Upstream Color (2013)
19189,Fast Life (1932)
19190,Careless Love (2012)
19191,Special When Lit  (2009)
19192,"Year of the Tiger, The (Año del tigre, El) (2011)"
19193,Preston Sturges: The Rise and Fall of an American Dreamer (1990)
19194,Double Indemnity (1973)
19195,London After Midnight (2002)
19196,Broken City (2013)
19197,Nursery University (2008)
19198,"Counterfeit Coin, The (Istoria mias kalpikis liras) (1955)"
19199,Nameless Gangster (Bumchoiwaui junjaeng) (2012)
19200,Ginger & Rosa (2012)
19201,First Shot (2002)
19202,Marina Abramovic: The Artist Is Present (2012)
19203,Bonsái (2011)
19204,Shadow Dancer (2012)
19205,It's a Disaster (2012)
19206,Texas Across the River (1966)
19207,"Comic, The (1969)"
19208,Up in Smoke (1957)
19209,"Flaw, The (2011)"
19210,Chicago Massacre: Richard Speck (2007)
19211,Keep the Lights On (2012)
19212,Beauty Is Embarrassing (2012)
19213,Girl Model (2011)
19214,Crossfire Hurricane (2012)
19215,Middle of Nowhere (2012)
19216,True Blue (2001) 
19217,"Guns of Fort Petticoat, The (1957)"
19218,Human Planet (2011)
19219,Madagascar (2011)
19220,Omar Killed Me (Omar m'a tuer) (2011)
19221,Red Hook Summer (2012)
19222,Stella Maris (1918)
19223,Die (2010)
19224,Patrice O'Neal: Elephant in the Room (2011)
19225,Sunny (Sseo-ni) (2011)
19226,My Way (Mai Wei) (2011)
19227,Punching the Clown (2009)
19228,Metsän tarina (2012)
19229,Choose (2010)
19230,Made in Hong Kong (Xiang Gang zhi zao) (1997)
19231,Creature from Black Lake (1976) 
19232,Bad Luck (Zezowate szczescie) (1960)
19233,Movie 43 (2013)
19234,Night of the Demons 2 (1994)
19235,Hitler's Madman (1943)
19236,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007) 
19237,Pictures of the Old World (Obrazy starého sveta) (1972)
19238,Jean Gentil (2010)
19239,Day and Night (Le jour et la nuit) (1997)
19240,"Pervert's Guide to Ideology, The (2012)"
19241,Parker (2013)
19242,We the Party (2012)
19243,"Simple Life, A (Tao jie) (2011)"
19244,"End of Love, The (2012)"
19245,Palms (Ladoni) (1994)
19246,"Color Wheel, The (2011)"
19247,"Green Wave, The (2010)"
19248,Gayby (2012)
19249,Sightseers (2012)
19250,Oppai Volleyball (Oppai barê) (2009)
19251,Hansel & Gretel: Witch Hunters (2013)
19252,Murder by Proxy: How America Went Postal (2010)
19253,After Porn Ends (2010)
19254,"Angélique, marquise des anges (1964)"
19255,Stonehenge Apocalypse (2010)
19256,"Last Godfather, The (2010)"
19257,Portrait of Wally (2012)
19258,Starlet (2012)
19259,Jim Jefferies: Fully Functional (EPIX) (2012)
19260,Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007)
19261,"Ah of Life, The (2010)"
19262,Churchill: The Hollywood Years (2004)
19263,Sundome (2007)
19264,Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan) (1972)
19265,"Wild Horse, Wild Ride (2011)"
19266,"Psychopath, The (1966)"
19267,"Not with My Wife, You Don't! (1966)"
19268,"Big Picture, The (L'homme qui voulait vivre sa vie) (2010)"
19269,"Woman's Face, A (En kvinnas ansikte) (1938) "
19270,"East, The (2013)"
19271,Pretty Sweet (2012)
19272,Lo (2009)
19273,"House of Seven Corpses, The (1974)"
19274,Karlsson Brothers (Bröderna Karlsson) (2010)
19275,Confessions of a Driving Instructor (1976)
19276,Confessions from a Holiday Camp (1977)
19277,Kilometre Zero (Kilomètre zéro) (2005)
19278,Paziraie Sadeh (2012)
19279,Love Loves Coincidences (2011)
19280,Snow White (Blancanieves) (2012)
19281,Return (2011)
19282,Tabu (2012)
19283,Head Games (2012)
19284,"Pink Ribbons, Inc. (2011)"
19285,Ballplayer: Pelotero (2011)
19286,Désiré (1992)
19287,Upside Down (2012)
19288,"Liability, The (2012)"
19289,Pressure Point (1962)
19290,2 Become 1 (Tin sun yut dui) (2006)
19291,"Baytown Outlaws, The (2012)"
19292,LUV (2012)
19293,Stand Up Guys (2012)
19294,Le grand soir (2012)
19295,Kukuli (1961)
19296,Chouga (Shuga) (2007)
19297,Udaan (2010)
19298,"Life Apart: Hasidism in America, A (1997)"
19299,No (2012)
19300,Finding Joy (2013)
19301,"Haunting in Connecticut 2: Ghosts of Georgia, The (2013)"
19302,"Adonis Factor, The (2010)"
19303,Call Me Kuchu (2012)
19304,No Man of Her Own (1950) 
19305,Prinsessa (Starring Maja) (2009)
19306,Miss Kicki (2009)
19307,Side Effects (2013)
19308,Midnight's Children (2012)
19309,Kadal (2013)
19310,Identity Thief (2013)
19311,Shadow People  (2007)
19312,"ABCs of Death, The (2012)"
19313,21 tapaa pilata avioliitto (2013)
19314,Rainy Dog (Gokudô kuroshakai) (1997)
19315,Perkele! Kuvia Suomesta (1971)
19316,"Foreigner, The (1978)"
19317,Days and Hours (Kod amidze Idriza) (2004)
19318,Assault of the Sasquatch (Sasquatch Assault) (2009)
19319,Dancing in the Rain (Ples v dezju) (1961)
19320,"Rage, The (2007)"
19321,"Bang Bang Club, The (2010)"
19322,"Gatekeepers, The (2012)"
19323,"Glimpse Inside the Mind of Charles Swan III, A (2012)"
19324,Lore (2012)
19325,Drogówka (2013)
19326,"Rumble in the Air-Conditioned Auditorium: O'Reilly vs. Stewart 2012, The (2012)"
19327,Sasquatch: The Legend of Bigfoot (1977)
19328,Right America: Feeling Wronged - Some Voices from the Campaign Trail (2009) 
19329,Game of Death (2010)
19330,Quackser Fortune Has a Cousin in the Bronx (1970)
19331,Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness? (1969)
19332,"Pink Jungle, The (1968)"
19333,Chinese Zodiac (Armour of God III) (CZ12) (2012)
19334,"Playroom, The (2012)"
19335,Unfinished Song (Song for Marion) (2012)
19336,Beautiful Creatures (2013)
19337,Living Free (1972)
19338,Ten Tall Men (1951)
19339,Knucklehead (2010)
19340,"Good Day to Die Hard, A (2013)"
19341,I Thank a Fool (1962)
19342,Monte Walsh (2003)
19343,21 and Over (2013)
19344,Tale of Tales (Skazka skazok) (1979)
19345,"House Is Black, The (1963)"
19346,Mothlight (1963)
19347,War Witch (Rebelle) (2012)
19348,"World Before Her, The (2012)"
19349,A.K.A. Don Bonus (1995)
19350,Who Killed Vincent Chin? (1987)
19351,Safe Haven (2013)
19352,Elles (2011)
19353,In the Edges: The 'Grizzly Man' Session (2005) 
19354,"Last Will of Dr. Mabuse, The (Testament du Dr. Mabuse, Le) (1933)"
19355,"Blue Angel, The (1930)"
19356,Bronies: The Extremely Unexpected Adult Fans of My Little Pony (2012)
19357,"Act of Killing, The (2012)"
19358,"Match King, The (1932)"
19359,"Goddess of 1967, The (2000)"
19360,PressPausePlay (2011)
19361,U.S. Seals (2000)
19362,Raid on Rommel (1971)
19363,"Angel Levine, The (1970)"
19364,Universal Soldier: Day of Reckoning (2012)
19365,Room 237 (2012)
19366,Arnulf Rainer (1960)
19367,"Above the Street, Below the Water (Over gaden under vandet) (2009)"
19368,Amazing Johnathan: Wrong on Every Level (2006)
19369,"Mind Reader, The (1933)"
19370,Benji (2012) 
19371,To.get.her (2011)
19372,Escape from Planet Earth (2013)
19373,Saving Lincoln (2013)
19374,Sunday Lovers (1980)
19375,Helicopter String Quartet (1996)
19376,Salla: Selling the Silence (2010)
19377,"Cost of Oil: Voices from the Arctic, The (2009)"
19378,Before Midnight (2013)
19379,"Oranges, The (2011)"
19380,Fake It So Real (2012)
19381,The Reincarnation of Isabel (1973)
19382,Which Way Home (2009)
19383,Heroine (2012)
19384,Snitch (2013)
19385,Black on White (Mustaa valkoisella) (1968)
19386,Sixtynine (69) (1969)
19387,Eye In The Sky (Gun chung) (2007)
19388,TPB AFK: The Pirate Bay Away from Keyboard (2013)
19389,Living in Emergency: Stories of Doctors Without Borders (2008)
19390,Dark Skies (2013)
19391,Zig Zag (2002)
19392,Empty Nest (El nido vacío) (2008)
19393,I Am Jesus (2011)
19394,Oh Boy (A Coffee in Berlin) (2012)
19395,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013)
19396,Holy Wars (2010)
19397,Murder in Greenwich (2002)
19398,Maniac Cop 2 (1990)
19399,Gunfighter's Moon  (1997)
19400,"Movie, A (1958)"
19401,Fantomas (Fantômas - À l'ombre de la guillotine) (1913)
19402,"Act of Seeing with One's Own Eyes, The (1971) "
19403,"Look, Up in the Sky! The Amazing Story of Superman (2006)"
19404,"Aral, Fishing in an Invisible Sea (2004)"
19405,"Suitor, The (Soupirant, Le) (1962)"
19406,Yo Yo (Yoyo) (1965)
19407,Dark Intruder (1965)
19408,Jack the Giant Slayer (2013)
19409,East Meets West (Dung sing sai tsau 2011) (2011)
19410,"Last Exorcism Part II, The (2013)"
19411,Lenny Bruce: Swear to Tell the Truth (1998)
19412,Verboten! (1959)
19413,"Solitude of Prime Numbers, The (2010)"
19414,Wadjda (2012)
19415,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)"
19416,"Legend of Sleepy Hollow, The (1949)"
19417,G.I. Joe: Retaliation (2013)
19418,Kiss Me (Kyss Mig) (2011)
19419,My Name is Juani (Yo soy la Juani) (2006)
19420,Stoker (2013)
19421,Phantom (2013)
19422,"Grand Amour, Le (1969)"
19423,Sound City (2013)
19424,Oz the Great and Powerful (2013)
19425,Satan's Blood (Escalofrío) (1978)
19426,Tripping the Rift: The Movie (2008)
19427,Fog City Mavericks (2007)
19428,Dead Man Down (2013)
19429,"Croods, The (2013)"
19430,This Movie Is Broken (2010)
19431,Life 2.0 (2010)
19432,Sons of Perdition (2010)
19433,Last Call at the Oasis (2011)
19434,Wieners (2008)
19435,"Borrowers, The (2011)"
19436,First Person Plural (2000)
19437,First Target (2000)
19438,Age of the Dragons (2011)
19439,Populaire (2012)
19440,Central Park (1990)
19441,"Inheritance, The (Karami-ai) (1964)"
19442,"Hello, Friend (2003)"
19443,"Hucksters, The (1947)"
19444,Emperor (2012)
19445,"Silence, The (Das letzte Schweigen) (2010)"
19446,"Girl, The (2012)"
19447,Genghis Khan (1965)
19448,Shadow Boxers (1999)
19449,Leviathan (2012)
19450,Burn (2012)
19451,Elevator (2011) 
19452,3some (Castillos de cartón) (2009)
19453,Accomplices (Complices) (2009)
19454,May the Best Man Win (2009)
19455,"Glass Menagerie, The (1950)"
19456,"Great Gatsby, The (1949)"
19457,9500 Liberty (2009)
19458,Wild Guitar (1962)
19459,"Sadist, The (1963)"
19460,Klip (Clip) (2012)
19461,Herman's House (2012)
19462,Westward the Women (1951)
19463,"Thousand Cuts, A (2012)"
19464,Radio Rebel (2010)
19465,StarStruck (2010)
19466,Geek Charming (2011)
19467,Elevator (2008)
19468,In Their Skin (2012)
19469,I Give It a Year (2013)
19470,"Incredible Burt Wonderstone, The (2013)"
19471,Spring Breakers (2013)
19472,"Red Spectacles, The (Jigoku no banken: akai megane) (1987)"
19473,Stray Dog: Kerberos Panzer Cops (Jigoku no banken: kerubersu) (1991)
19474,Shanghai Calling (2012)
19475,I'm So Excited (Los amantes pasajeros) (2013)
19476,"Finger, The (Dedo, El) (2011)"
19477,"Frozen, The (2012)"
19478,Amber Lake (2011) 
19479,Unspeakable Acts (1990) 
19480,Árido Movie (2005)
19481,Operation Daybreak (1975)
19482,"Crossing, The (2000)"
19483,Shining Night: A Portrait of Composer Morten Lauridsen (2012)
19484,Stolen Seas (2012)
19485,"Snow Creature, The (1954)"
19486,Snowbeast (1977)
19487,"Atomic States of America, The (2012)"
19488,Miss Farkku-Suomi (2012)
19489,I Am Comic (2010)
19490,Outlaw of Gor (1988)
19491,"Call, The (2013)"
19492,Olympus Has Fallen (2013)
19493,Soulkeeper (2001)
19494,"Wayward Bus, The (1957)"
19495,Where Are My Children? (1916)
19496,InAPPropriate Comedy (2013)
19497,Gregory Crewdson: Brief Encounters (2012)
19498,Blood Games (1990) 
19499,"Colder Kind of Death, A (2001)"
19500,Abraham Lincoln (1930)
19501,Riders of the Purple Sage  (1996)
19502,Steep (2007)
19503,Los Marziano (2011)
19504,My Brother the Devil (2012)
19505,"First Time, The (2012)"
19506,Company (2011)
19507,Kill for Me (2013)
19508,"Christine Jorgensen Story, The (1970)"
19509,Moving Out (1983)
19510,Big Bang in Tunguska (Das Rätsel von Tunguska) (2008)
19511,"Big Circus, The (1959)"
19512,My Last Five Girlfriends (2009)
19513,"Kiss, The (1929)"
19514,Trailer Park of Terror (2008)
19515,"Task, The (2011)"
19516,2:22 (2008)
19517,Miguel and William (Miguel y William) (2007)
19518,"Brussels Business, The (2012)"
19519,Big Girls Don't Cry... They Get Even (Stepkids) (1992)
19520,"Substitute, The (1993)"
19521,Upperworld (1934)
19522,Storage (2009)
19523,Assassin's Bullet (Sofia) (2012)
19524,In the House (2012)
19525,30 Beats (2012)
19526,Nazty Nuisance (1943)
19527,"Place Beyond the Pines, The (2012)"
19528,Into the White (Cross of Honour) (2012)
19529,"Brass Teapot, The (2012)"
19530,Phil Spector (2013)
19531,For the Love of a Dog (2008)
19532,Alabama Moon (2009)
19533,"Host, The (2013)"
19534,Ocean Heaven (2010) 
19535,Angel Dog (2011)
19536,"Best and the Brightest, The (2010)"
19537,Two Little Boys (2012)
19538,"Beautiful Life, A (2008)"
19539,"Bird of the Air, A (Loop, The) (2011)"
19540,"Breed Apart, A (1984)"
19541,"Bag of Hammers, A (2011)"
19542,"Good Doctor, The (2011)"
19543,"Whale, The (2011)"
19544,Admission (2013)
19545,Riverworld (2010)
19546,Confidential Agent (1945)
19547,"King - Jari Litmanen, The (Kuningas Litmanen) (2012)"
19548,"Man Called Gannon, A (1968)"
19549,Don (2006)
19550,"Bunch Of Amateurs, A (2008)"
19551,Night Across the Street (La noche de enfrente) (2012)
19552,"Flat, The (2011)"
19553,Patience (After Sebald) (2012)
19554,Magadheera (2009)
19555,Three Way (2004)
19556,Hey Ram (2000)
19557,"Night in Heaven, A (1983)"
19558,'Twas the Night Before Christmas (1974)
19559,Horror of the Zombies (1974)
19560,Copper Mountain (1983)
19561,David (1988)
19562,One Life (2011)
19563,Blue Caprice (2013)
19564,Bad 25 (2012)
19565,Besa (Solemn Promise) (2009)
19566,Hadersfild (Huddersfield) (2007)
19567,Underground: The Julian Assange Story (2012)
19568,Lush Life (1993)
19569,009 Re: Cyborg (2012)
19570,Ace Attorney (Gyakuten saiban) (2012)
19571,Loaded (2008)
19572,"Elusive Summer of '68, The (Varljivo leto '68) (1984)"
19573,Koi... Mil Gaya (2003)
19574,Dinosaurus! (1960)
19575,Miss Castaway and the Island Girls (2004)
19576,Business as Usual (1988)
19577,Thank God He Met Lizzie (1997)
19578,"Rough House, The (1917)"
19579,Evil Dead (2013)
19580,Trance (2013)
19581,"War of the Gargantuas, The (Furankenshutain no kaijû: Sanda tai Gaira) (1968)"
19582,"Machine That Kills Bad People, The (La Macchina Ammazzacattivi) (1952)"
19583,Chasing Beauty (2013)
19584,Killing Bono (2011)
19585,Welcome to the Punch (2013)
19586,My Awkward Sexual Adventure (2012)
19587,"Perfect Plan, A (Plan parfait, Un) (2012)"
19588,"Familie, En (2010)"
19589,Papadopoulos & Sons (2012)
19590,Better This World (2011)
19591,"Stone's Throw Away, A (A tiro de piedra) (2010)"
19592,Americano (2005)
19593,"Skylab, Le (2011)"
19594,Putzel (2012)
19595,"Mountain, The (1956)"
19596,"Fighting Prince of Donegal, The (1966)"
19597,Poor White Trash (2000)
19598,Year of the Jellyfish (L'année des méduses) (1984)
19599,Don't Make Waves (1967)
19600,"King of Texas, The (2008)"
19601,About Face: Supermodels Then and Now (2012)
19602,According to Spencer (2001)
19603,Hitler's Stealth Fighter (2009)
19604,One Lucky Elephant (2010)
19605,Racing Dreams (2009)
19606,Death on the Staircase (Soupçons) (2004)
19607,Shepard & Dark (2012)
19608,Teenage Paparazzo (2010)
19609,50 Children: The Rescue Mission of Mr. And Mrs. Kraus (2013)
19610,Oblivion (2013)
19611,"Fourth State, The (Die vierte Macht) (2012)"
19612,God's Puzzle (Kamisama no pazuru) (2008)
19613,Siberian Education (Educazione siberiana) (2013)
19614,Dark Tide (2012)
19615,Bernice Bobs Her Hair (1976)
19616,Bones Brigade: An Autobiography (2012)
19617,To the Wonder (2013)
19618,42 (2013)
19619,"Prodigal Son, The (Tuhlaajapoika) (1992)"
19620,Ladybug Ladybug (1963) 
19621,Happy (2011)
19622,"Castle of Cloads, The (Pilvilinna) (1970)"
19623,Bhutto (2010)
19624,Black Rose Ascension (Kurobara shôten) (1975)
19625,"Lawless Street, A (Marshal of Medicine Bend) (1955)"
19626,Across the Wide Missouri (1951)
19627,Seeking Asian Female (2012)
19628,Love Is All You Need (Den skaldede frisør) (2012)
19629,Downeast (2012)
19630,From the Sky Down (2011)
19631,Adventure for Two (1943)
19632,Alex in Wonderland (1970)
19633,Carne de gallina (Chicken Skin) (2002)
19634,Wolf Children (Okami kodomo no ame to yuki) (2012)
19635,Mugabe and the White African (2009)
19636,Battle in Outer Space (1959)
19637,Tesla: Master of Lightning (2000)
19638,Never Sleep Again: The Elm Street Legacy (2010)
19639,Disconnect (2012)
19640,iSteve (2013)
19641,All American Orgy (Cummings Farm) (2009)
19642,"Eternal Return, The (L'éternel retour) (1943)"
19643,Konga (1961)
19644,"H-Man, The (Bijo to Ekitainingen) (1958)"
19645,Scary Movie 5 (Scary MoVie) (2013)
19646,Last Cowboy Standing (Skavabölen pojat) (2009)
19647,Like Someone In Love (2012)
19648,Before Your Eyes (Min Dit: The Children of Diyarbakir) (2009)
19649,Yongary: Monster from the Deep (1967)
19650,To the Arctic (2012)
19651,Pain & Gain (2013)
19652,"Holding, The (2011)"
19653,Breaking Wind (2011)
19654,"Taming of the Shrew, The (1980)"
19655,"Bride Came C.O.D., The (1941)"
19656,Mexican Hayride (1948)
19657,"Band Called Death, A (2012)"
19658,Home Run (2013)
19659,Resolution (2012)
19660,Grabbers (2012)
